actual,proposed
0.02500000037252903,0.02338019199669361
0.02500000037252903,0.023424895480275154
0.02500000037252903,0.023469600826501846
0.02500000037252903,0.023559007793664932
0.02500000037252903,0.023603711277246475
0.02500000037252903,0.023648416623473167
0.02500000037252903,0.022937653586268425
0.02500000037252903,0.022694412618875504
0.02500000037252903,0.022593975067138672
0.02500000037252903,0.022453539073467255
0.02500000037252903,0.02229982614517212
0.02500000037252903,0.02220871113240719
0.02500000037252903,0.02214187942445278
0.02500000037252903,0.022059142589569092
0.02500000037252903,0.022030610591173172
0.02500000037252903,0.02196701616048813
0.02500000037252903,0.021934539079666138
0.02500000037252903,0.021916663274168968
0.02500000037252903,0.021787473931908607
0.02500000037252903,0.021727684885263443
0.02500000037252903,0.021662693470716476
0.02500000037252903,0.021649396046996117
0.02500000037252903,0.02162722498178482
0.02500000037252903,0.021600548177957535
0.02500000037252903,0.021558688953518867
0.02500000037252903,0.02153996005654335
0.02500000037252903,0.021503647789359093
0.02500000037252903,0.021531105041503906
0.02500000037252903,0.021479183807969093
0.02500000037252903,0.02140827476978302
0.02500000037252903,0.02138492651283741
0.02500000037252903,0.021382292732596397
0.02500000037252903,0.021371468901634216
0.02500000037252903,0.0212628822773695
0.02500000037252903,0.021241025999188423
0.02500000037252903,0.021248681470751762
0.02500000037252903,0.02123141661286354
0.02500000037252903,0.021210649982094765
0.02500000037252903,0.021211078390479088
0.02500000037252903,0.021229034289717674
0.02500000037252903,0.02123126946389675
0.02500000037252903,0.021253542974591255
0.02500000037252903,0.02124140039086342
0.02500000037252903,0.021269215270876884
0.02500000037252903,0.02126714028418064
0.02500000037252903,0.02126969024538994
0.02500000037252903,0.021288415417075157
0.02500000037252903,0.02129046991467476
0.02500000037252903,0.02128399908542633
0.02500000037252903,0.02133098803460598
0.02500000037252903,0.02131185121834278
0.02500000037252903,0.021305551752448082
0.02500000037252903,0.02129869908094406
0.02500000037252903,0.021298471838235855
0.02500000037252903,0.02129458449780941
0.02500000037252903,0.02129577100276947
0.02500000037252903,0.02129252254962921
0.02500000037252903,0.021290792152285576
0.02500000037252903,0.021278297528624535
0.02500000037252903,0.021251916885375977
0.02500000037252903,0.021246694028377533
0.02500000037252903,0.02123994752764702
0.02500000037252903,0.021211564540863037
0.02500000037252903,0.02117958851158619
0.02500000037252903,0.021189317107200623
0.02500000037252903,0.021189838647842407
0.02500000037252903,0.02118571475148201
0.02500000037252903,0.021200060844421387
0.02500000037252903,0.021188920363783836
0.02500000037252903,0.021082520484924316
0.02500000037252903,0.02098444104194641
0.02500000037252903,0.020937461405992508
0.02500000037252903,0.020865585654973984
0.02500000037252903,0.020842285826802254
0.02500000037252903,0.02084638923406601
0.02500000037252903,0.020829472690820694
0.02500000037252903,0.02083670161664486
0.02500000037252903,0.020842110738158226
0.02500000037252903,0.02086990512907505
0.02500000037252903,0.020923206582665443
0.02500000037252903,0.020910240709781647
0.02500000037252903,0.02090788260102272
0.02500000037252903,0.020909951999783516
